IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
129.227.139.137,4,3,0.25,216.45,0.13
8.210.92.27,4,4,0.00,212.85,0.13
47.57.13.107,4,4,0.00,214.69,0.04
8.218.148.106,4,4,0.00,212.85,0.02
47.57.245.232,4,4,0.00,214.48,0.02
123.58.212.234,4,3,0.25,190.46,0.01
8.217.144.161,4,4,0.00,213.37,0.00
47.76.57.102,4,4,0.00,213.49,0.00
47.76.64.134,4,4,0.00,213.13,0.00
8.217.181.77,4,4,0.00,213.11,0.00
203.193.21.29,4,4,0.00,223.50,0.00
8.218.149.103,4,4,0.00,212.88,0.00
203.193.21.20,4,4,0.00,212.83,0.00
