IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
150.230.6.108,4,4,0.00,196.80,15.98
64.110.101.125,4,4,0.00,199.88,15.95
158.101.71.60,4,4,0.00,219.65,14.06
168.138.194.74,4,4,0.00,221.98,13.83
